"path"	"exists"	"bytes"	"signature"	"first32_hex"	"first32_ascii"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\admin\municipios\ADMIN_CAOP__DGT__CAOP_MUNI__PT_CONT__2024__epsgUNK__v1.zip"	"YES"	"111598710"	"ZIP_OR_PARQUET_CONTAINER"	"50 4B 03 04 14 00 02 00 08 00 4E 87 E9 5A B6 33 95 D2 E0 DB A6 06 00 A0 36 0B 1A 00 00 00 43 6F"	"PK........N..Z.3........6.....Co"
"D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\Datos\01_std\admin\municipios\ADMIN_CAOP__DGT__CAOP_MUNI__PT_CONT__2024__epsgUNK__v1.zip"	"YES"	"111598710"	"ZIP_OR_PARQUET_CONTAINER"	"50 4B 03 04 14 00 02 00 08 00 4E 87 E9 5A B6 33 95 D2 E0 DB A6 06 00 A0 36 0B 1A 00 00 00 43 6F"	"PK........N..Z.3........6.....Co"
