"label"	"file"	"line"	"pattern"	"text"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1432"	"grib"	"[""gfas_probe"", ""gfas_grib_count"", int(sources.get(""gfas_grib_count"") or 0), str(sources.get(""gfas_dir"", """"))],"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1477"	"GRIB"	"def _extract_first_message_by_next_grib(src: Path, dst: Path, max_scan_bytes: int = 64 * 1024 * 1024) -> Tuple[int, int]:"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1477"	"grib"	"def _extract_first_message_by_next_grib(src: Path, dst: Path, max_scan_bytes: int = 64 * 1024 * 1024) -> Tuple[int, int]:"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1479"	"GRIB"	"raise FileNotFoundError(f""GFAS source GRIB missing: {src}"")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1479"	"grib"	"raise FileNotFoundError(f""GFAS source GRIB missing: {src}"")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1489"	"GRIB"	"if len(buf) >= 8 and buf[:4] == b""GRIB"":"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1489"	"grib"	"if len(buf) >= 8 and buf[:4] == b""GRIB"":"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1490"	"GRIB"	"next_idx = bytes(buf).find(b""GRIB"", 4)"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1490"	"grib"	"next_idx = bytes(buf).find(b""GRIB"", 4)"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1496"	"GRIB"	"raise RuntimeError(f""Could not delimit first GRIB message using next GRIB within {max_scan_bytes} bytes for {src}"")"
