"artifact"	"exists"	"bytes"	"year"	"metric"	"rows"	"numeric_values"	"distinct_values"	"min"	"max"	"nonzero_count"	"finding"	"path"
"smoke_days_unit"	"YES"	"18134"	"2020"	"smoke_score_mean"	"26"	"0"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2021"	"smoke_score_mean"	"26"	"0"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2022"	"smoke_score_mean"	"26"	"0"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2023"	"smoke_score_mean"	"26"	"0"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2024"	"smoke_score_mean"	"26"	"0"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2015"	"smoke_score_p80"	"26"	"0"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2016"	"smoke_score_p80"	"26"	"0"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2017"	"smoke_score_p80"	"26"	"0"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2018"	"smoke_score_p80"	"26"	"0"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
"smoke_days_unit"	"YES"	"18134"	"2019"	"smoke_score_p80"	"26"	"0"	"0"	""	""	"0"	"NO_NUMERIC_VALUES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_unit_2015_2024.csv"
