"Root","FilePath","LineNumber","Match","Classification","Reason","Line"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\build_iso_inventory.ps1","58","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","elseif ($FullName -match ""\\Complementariedad de analisis\\Module C\\03_outputs__BACKUP_"") {"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\build_iso_inventory.ps1","82","Complementariedad de analisi_sin base de datos","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","elseif ($FullName -match ""\\Complementariedad de analisi_sin base de datos(\\|$)"") {"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\classify_iso_roles.ps1","132","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","if ($d.FullName -match ""03_outputs__BACKUP_20260121_235500"") {"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\compare_outputs_canon_vs_backup.ps1","16","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","$backupRoot = Join-Path $GataRoot ""Complementariedad de analisis\Module C\03_outputs__BACKUP_20260121_235500"""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\fix_b3_1_outputs.ps1","43","HOST_ROOT","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","$hostFallback = ($wrapperText -match ""HOST_ROOT="") -or ($wrapperText -match ""D:\\Mestrado\\GATA_2025_2026"")"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\fix_b3_1_outputs.ps1","72","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Add-Row ""No uso activo de deliverables_step9 historico"" ""Solo historico"" ""Clasificado historico/no baseline"" ""B2_baseline_coherence_matrix.csv"" ""MEDIUM"" $false ""PASS"""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\fix_b3_1_outputs.ps1","73","run_pipeline_debug_v5.py;run_pipeline_debug_v5.py","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Add-Row ""No runners legacy activos"" ""Sin ejecucion via v5"" (""runner={0}"" -f $runner) ""B3_1_active_pipeline_contract.md"" ""HIGH"" ($runner -eq ""run_pipeline_debug_v5.py"") ($(if ($runner -ne ""run_pipeline_debug_v5.py"") { ""PASS"" } else { ""HOLD"" }))"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\generate_quarantine_plan.ps1","38","Complementariedad de analisi_sin base de datos","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","if ($full -match ""\\Complementariedad de analisi_sin base de datos\\Module C sin base de datos\\03_outputs\\"") {"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\generate_quarantine_plan.ps1","66","run_pipeline_debug_v5.py","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","$rationale = ""Puede contener referencias históricas (ej. run_pipeline_debug_v5.py)."""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","14","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","backup_root = modulec_root / ""03_outputs__BACKUP_20260121_235500"""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","686","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","backup_deliver = backup_root / ""deliverables_step9"""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","760","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""deliverables_step9"","
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","796","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","md_dec.append(""- Confirmar política para `deliverables_step9` (histórico vs regenerado) tras runtime controlado."")"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","808","deliverables_step9;deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","md_next.append(""   - `qa/run_log.txt`, `qa/QA_checks.csv`, `deliverables_step9/final_manifest.json`, `deliverables_step9/final_sha256_checkpoints.txt`."")"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b2_audit.py","809","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","md_next.append(""3. No restaurar `deliverables_step9` desde backup antes del runtime; usarlo solo como evidencia histórica."")"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","200","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","- `$modulecRoot\03_outputs__BACKUP_20260121_235500`"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","203","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","- `deliverables_step9` en backup: historico, no baseline"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","208","__links_nospace\03_outputs","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","- `$gataRoot\__links_nospace\03_outputs`"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","209","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","- cualquier `03_outputs__BACKUP*`"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","214","deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","- `deliverables_step9\*`"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","230","run_pipeline_debug_v5.py","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","$runnerV5 = Join-Path $pipelineRoot ""run_pipeline_debug_v5.py"""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","235","run_pipeline_debug_v5.py","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","foreach ($k in @(""moduleC_pipeline_v2.py"", ""moduleC_pipeline.py"", ""run_pipeline_debug.py"", ""run_pipeline_debug_v5.py"", ""qa_gate_v2.py"")) {"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","271","HOST_ROOT","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","$hasHostFallback = ($wrapperText -match ""HOST_ROOT="") -or ($wrapperText -match ""D:\\Mestrado\\GATA_2025_2026"")"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","275","HOST_ROOT","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","""Flujo activo unico identificado: wrapper RUN_ModuleC_Pipeline_OSGeo4W.cmd -> moduleC_pipeline_v2.py con RUN_QGIS completo. Requiere bloqueo de fallback externo HOST_ROOT antes de implementar runtime."""
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","303","run_pipeline_debug_v5.py","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","- `run_pipeline_debug_v5.py` en `_archive_obsolete_20260115_0123`."
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","308","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","- No debe escribir: `$pipelineRoot\03_outputs`, `$modulecRoot\Datos\03_outputs`, cualquier `03_outputs__BACKUP*`."
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","309","HOST_ROOT","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","- Riesgo actual detectado: fallback `HOST_ROOT` en wrapper para resolver `INC_NEW` fuera de ISO (requiere remediacion en fase runtime implementation)."
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","335","run_pipeline_debug_v5.py","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","@{ Key = ""RUNNER_V5""; Type = ""Simple""; Value = ""run_pipeline_debug_v5.py"" },"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","336","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","@{ Key = ""BACKUP_OUTPUT""; Type = ""Simple""; Value = ""03_outputs__BACKUP_20260121_235500"" },"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","337","_qa_catalogs\moduleC_local_pipeline\03_outputs","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","@{ Key = ""PIPELINE_LOCAL_OUTPUT""; Type = ""Simple""; Value = ""_qa_catalogs\moduleC_local_pipeline\03_outputs"" },"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","338","Module C\Datos\03_outputs","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","@{ Key = ""DATOS_DEPRECATED_OUTPUT""; Type = ""Simple""; Value = ""Module C\Datos\03_outputs"" },"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","339","Complementariedad de analisi_sin base de datos","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","@{ Key = ""SIN_BD_SOURCE""; Type = ""Simple""; Value = ""Complementariedad de analisi_sin base de datos"" },"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","340","DELIVERABLES_STEP9;deliverables_step9;03_outputs__BACKUP;03_outputs__BACKUP;deliverables_step9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","@{ Key = ""DELIVERABLES_STEP9_BACKUP""; Type = ""Regex""; Value = ""deliverables_step9.*03_outputs__BACKUP_20260121_235500|03_outputs__BACKUP_20260121_235500.*deliverables_step9"" },"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","365","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","$isArchive = ($file -match ""\\_archive_|\\03_outputs__BACKUP_"")"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","386","DELIVERABLES_STEP9","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","elseif ($pat.Key -in @(""BACKUP_OUTPUT"", ""PIPELINE_LOCAL_OUTPUT"", ""DATOS_DEPRECATED_OUTPUT"", ""DELIVERABLES_STEP9_BACKUP"") -and $isPipelineExec) {"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","427","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Path   = (Join-Path $modulecRoot ""03_outputs__BACKUP_20260121_235500"")"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","428","03_outputs__BACKUP","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Exists = (Test-Path -LiteralPath (Join-Path $modulecRoot ""03_outputs__BACKUP_20260121_235500""))"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","451","Complementariedad de analisi_sin base de datos","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Path   = (Join-Path $gataRoot ""Complementariedad de analisi_sin base de datos"")"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","452","Complementariedad de analisi_sin base de datos","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Exists = (Test-Path -LiteralPath (Join-Path $gataRoot ""Complementariedad de analisi_sin base de datos""))"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","457","__links_nospace\03_outputs","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Path   = (Join-Path $gataRoot ""__links_nospace\03_outputs"")"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","458","__links_nospace\03_outputs","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","Exists = (Test-Path -LiteralPath (Join-Path $gataRoot ""__links_nospace\03_outputs""))"
"CONTROL_SCRIPTS","D:\Mestrado\GATA_2025_2026\Prueba_aislada\_cleanup_control\ISO_GATA_RECONCILIATION_20260518_201808\scripts\run_b3_1_gate.ps1","609","run_pipeline_debug_v5.py","CONTROL_REFERENCE","Referencia usada en scripts de auditoría/control","$v5Hits = (Select-String -LiteralPath $m -Pattern ""run_pipeline_debug_v5.py"" -SimpleMatch -ErrorAction SilentlyContinue).Count"
