"artifact"	"year"	"rows"	"smoke_sum"	"smoke_max"	"distinct_values"	"nonzero_count"	"all_zero"	"path"
"smoke_days_nuts3_annual"	"2021"	"26"	"74.3061701058423"	"30.7401892829517"	"4"	"4"	"NO"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"
"smoke_days_nuts3_annual"	"2022"	"26"	"26.1296678738532"	"13.0648339369266"	"2"	"2"	"NO"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"
"smoke_days_nuts3_annual"	"2023"	"26"	"0"	"0"	"1"	"0"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"
"smoke_days_nuts3_annual"	"2024"	"26"	"0"	"0"	"1"	"0"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_nuts3_annual_2015_2024.csv"
"smoke_days_municipio"	"2015"	"278"	"3885.21234663011"	"13.9755839806837"	"1"	"278"	"NO"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_municipio_2015_2024.csv"
"smoke_days_municipio"	"2016"	"278"	"3370.09436122649"	"12.1226415871457"	"1"	"278"	"NO"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_municipio_2015_2024.csv"
"smoke_days_municipio"	"2017"	"278"	"2854.97637582294"	"10.2696991936076"	"1"	"278"	"NO"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_municipio_2015_2024.csv"
"smoke_days_municipio"	"2018"	"278"	"2339.85839041934"	"8.4167568000696"	"1"	"278"	"NO"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_municipio_2015_2024.csv"
"smoke_days_municipio"	"2019"	"278"	"1824.74040501577"	"6.56381440653156"	"1"	"278"	"NO"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_municipio_2015_2024.csv"
"smoke_days_municipio"	"2020"	"278"	"1309.6224196122"	"4.71087201299351"	"1"	"278"	"NO"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_municipio_2015_2024.csv"
"smoke_days_municipio"	"2021"	"278"	"794.504434208624"	"2.85792961945547"	"1"	"278"	"NO"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_municipio_2015_2024.csv"
"smoke_days_municipio"	"2022"	"278"	"279.386448805046"	"1.00498722591743"	"1"	"278"	"NO"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_municipio_2015_2024.csv"
"smoke_days_municipio"	"2023"	"278"	"0"	"0"	"1"	"0"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_municipio_2015_2024.csv"
"smoke_days_municipio"	"2024"	"278"	"0"	"0"	"1"	"0"	"YES"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\03_RUNTIMES\ModuleC_RUNTIME_10D7_REAL_PRODUCER_PATCH_20260531_083731_ITER3\03_outputs\tables\smoke_days_municipio_2015_2024.csv"
