"Pattern","Path","LineNumber","Line"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline.py","772","                processing.run(""qgis:zonalstatistics"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline.py","898","            fire2 = processing.run(""native:fieldcalculator"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline.py","908","            fire2 = processing.run(""native:fieldcalculator"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline.py","919","            inter = processing.run(""native:intersection"", {""INPUT"": admin_layer, ""OVERLAY"": fire2, ""OUTPUT"": ""memory:""})[""OUTPUT""]"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline.py","922","            inter = processing.run(""native:fieldcalculator"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline.py","932","            stats_area = processing.run(""qgis:statisticsbycategories"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline.py","949","            fire_big = processing.run(""native:extractbyexpression"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline.py","955","            inter_big = processing.run(""native:intersection"", {""INPUT"": admin_layer, ""OVERLAY"": fire_big, ""OUTPUT"": ""memory:""})[""OUTPUT""]"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline.py","957","            stats_big = processing.run(""qgis:statisticsbycategories"", {"
"Incendios_Nueva version","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","8","- INC_NEW = ...\Incendios_Nueva version"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","12","- ...\Module C\03_outputs\qa\"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","13","- ...\Module C\03_outputs\tables\"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","14","- ...\Module C\03_outputs\maps\"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","15","- ...\Module C\03_outputs\brief\"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","195","    """"""Inicializa QgsApplication + Processing de forma robusta (Windows/OSGeo4W)."""""""
"QgsApplication","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","201","        from qgis.core import QgsApplication"
"QGIS_PREFIX_PATH","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","205","        prefix = (os.environ.get(""QGIS_PREFIX_PATH"") or """").strip()"
"QgsApplication","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","208","                QgsApplication.setPrefixPath(prefix, True)"
"QgsApplication","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","212","        qgs = QgsApplication([], False)"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","215","        # Asegura plugins en sys.path ANTES de importar processing"
"QgsApplication","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","217","            pp = Path(QgsApplication.prefixPath() or prefix)"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","226","        import processing  # noqa: F401"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","227","        from processing.core.Processing import Processing  # type: ignore"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","229","        Processing.initialize()"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","233","            reg = QgsApplication.processingRegistry()"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","239","                QgsApplication.processingRegistry().addProvider(QgsNativeAlgorithms())"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","244","        qa.add(""0000_INIT_QGIS"", ""PASS"", ""PyQGIS + Processing OK"")"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","245","        return qgs, processing"
"01_std","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","257","    std = modulec_datos / ""01_std"""
"--gata-root","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","567","    ap.add_argument(""--gata-root"", required=True)"
"--modulec-datos","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","568","    ap.add_argument(""--modulec-datos"", required=True)"
"--inc-new","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","569","    ap.add_argument(""--inc-new"", required=True)"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","580","    out_dir = modulec_root / ""03_outputs"""
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","601","        qgs, processing = init_qgis(qa)"
"01_std","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","627","            raise RuntimeError(""No se encontrÃ³ NUTS3 en 01_std/admin/nuts3"")"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","640","            vl = processing.run(""native:extractbyexpression"", {""INPUT"": vl, ""EXPRESSION"": pt_expr, ""OUTPUT"": ""memory:""})[""OUTPUT""]"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","642","        vl = processing.run(""native:fixgeometries"", {""INPUT"": vl, ""OUTPUT"": ""memory:""})[""OUTPUT""]"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","643","        vl = processing.run(""native:reprojectlayer"", {""INPUT"": vl, ""TARGET_CRS"": crs_3763, ""OUTPUT"": ""memory:""})[""OUTPUT""]"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","690","                res = processing.run(""gdal:warpreproject"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","714","            processing.algorithmHelp(""native:zonalstatisticsfb"")"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","727","                admin_work = processing.run(""native:zonalstatisticsfb"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","736","                processing.run(""qgis:zonalstatistics"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","862","            fire2 = processing.run(""native:fieldcalculator"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","872","            fire2 = processing.run(""native:fieldcalculator"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","883","            inter = processing.run(""native:intersection"", {""INPUT"": admin_layer, ""OVERLAY"": fire2, ""OUTPUT"": ""memory:""})[""OUTPUT""]"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","886","            inter = processing.run(""native:fieldcalculator"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","896","            stats_area = processing.run(""qgis:statisticsbycategories"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","913","            fire_big = processing.run(""native:extractbyexpression"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","919","            inter_big = processing.run(""native:intersection"", {""INPUT"": admin_layer, ""OVERLAY"": fire_big, ""OUTPUT"": ""memory:""})[""OUTPUT""]"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED.py","921","            stats_big = processing.run(""qgis:statisticsbycategories"", {"
"Incendios_Nueva version","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","8","- INC_NEW = ...\Incendios_Nueva version"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","12","- ...\Module C\03_outputs\qa\"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","13","- ...\Module C\03_outputs\tables\"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","14","- ...\Module C\03_outputs\maps\"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","15","- ...\Module C\03_outputs\brief\"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","195","    """"""Inicializa QgsApplication + Processing de forma robusta (Windows/OSGeo4W)."""""""
"QgsApplication","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","201","        from qgis.core import QgsApplication"
"QGIS_PREFIX_PATH","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","205","        prefix = (os.environ.get(""QGIS_PREFIX_PATH"") or """").strip()"
"QgsApplication","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","208","                QgsApplication.setPrefixPath(prefix, True)"
"QgsApplication","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","212","        qgs = QgsApplication([], False)"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","215","        # Asegura plugins en sys.path ANTES de importar processing"
"QgsApplication","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","217","            pp = Path(QgsApplication.prefixPath() or prefix)"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","226","        import processing  # noqa: F401"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","227","        from processing.core.Processing import Processing  # type: ignore"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","229","        Processing.initialize()"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","233","            reg = QgsApplication.processingRegistry()"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","239","                QgsApplication.processingRegistry().addProvider(QgsNativeAlgorithms())"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","244","        qa.add(""0000_INIT_QGIS"", ""PASS"", ""PyQGIS + Processing OK"")"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","245","        return qgs, processing"
"01_std","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","257","    std = modulec_datos / ""01_std"""
"--gata-root","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","567","    ap.add_argument(""--gata-root"", required=True)"
"--modulec-datos","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","568","    ap.add_argument(""--modulec-datos"", required=True)"
"--inc-new","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","569","    ap.add_argument(""--inc-new"", required=True)"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","580","    out_dir = modulec_root / ""03_outputs"""
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","601","        qgs, processing = init_qgis(qa)"
"01_std","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","627","            raise RuntimeError(""No se encontrÃ³ NUTS3 en 01_std/admin/nuts3"")"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","640","            vl = processing.run(""native:extractbyexpression"", {""INPUT"": vl, ""EXPRESSION"": pt_expr, ""OUTPUT"": ""memory:""})[""OUTPUT""]"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","642","        vl = processing.run(""native:fixgeometries"", {""INPUT"": vl, ""OUTPUT"": ""memory:""})[""OUTPUT""]"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","643","        vl = processing.run(""native:reprojectlayer"", {""INPUT"": vl, ""TARGET_CRS"": crs_3763, ""OUTPUT"": ""memory:""})[""OUTPUT""]"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","701","                res = processing.run(""gdal:warpreproject"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","725","            processing.algorithmHelp(""native:zonalstatisticsfb"")"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","738","                admin_work = processing.run(""native:zonalstatisticsfb"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","747","                processing.run(""qgis:zonalstatistics"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","873","            fire2 = processing.run(""native:fieldcalculator"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","883","            fire2 = processing.run(""native:fieldcalculator"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","894","            inter = processing.run(""native:intersection"", {""INPUT"": admin_layer, ""OVERLAY"": fire2, ""OUTPUT"": ""memory:""})[""OUTPUT""]"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","897","            inter = processing.run(""native:fieldcalculator"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","907","            stats_area = processing.run(""qgis:statisticsbycategories"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","924","            fire_big = processing.run(""native:extractbyexpression"", {"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","930","            inter_big = processing.run(""native:intersection"", {""INPUT"": admin_layer, ""OVERLAY"": fire_big, ""OUTPUT"": ""memory:""})[""OUTPUT""]"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED2_FASTGHSL.py","932","            stats_big = processing.run(""qgis:statisticsbycategories"", {"
"Incendios_Nueva version","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","8","- INC_NEW = ...\Incendios_Nueva version"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","12","- ...\Module C\03_outputs\qa\"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","13","- ...\Module C\03_outputs\tables\"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","14","- ...\Module C\03_outputs\maps\"
"03_outputs","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","15","- ...\Module C\03_outputs\brief\"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","195","    """"""Inicializa QgsApplication + Processing de forma robusta (Windows/OSGeo4W)."""""""
"QgsApplication","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","201","        from qgis.core import QgsApplication"
"QGIS_PREFIX_PATH","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","205","        prefix = (os.environ.get(""QGIS_PREFIX_PATH"") or """").strip()"
"QgsApplication","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","208","                QgsApplication.setPrefixPath(prefix, True)"
"QgsApplication","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","212","        qgs = QgsApplication([], False)"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","215","        # Asegura plugins en sys.path ANTES de importar processing"
"QgsApplication","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","217","            pp = Path(QgsApplication.prefixPath() or prefix)"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","226","        import processing  # noqa: F401"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","227","        from processing.core.Processing import Processing  # type: ignore"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","229","        Processing.initialize()"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","233","            reg = QgsApplication.processingRegistry()"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","239","                QgsApplication.processingRegistry().addProvider(QgsNativeAlgorithms())"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","244","        qa.add(""0000_INIT_QGIS"", ""PASS"", ""PyQGIS + Processing OK"")"
"processing","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","245","        return qgs, processing"
"01_std","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","257","    std = modulec_datos / ""01_std"""
"--gata-root","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\_qa_catalogs\moduleC_local_pipeline\moduleC_pipeline_FIXED3_VSIZIP_FASTGHSL.py","592","    ap.add_argument(""--gata-root"", required=True)"
